participant,group,test,stim1,stim2,stim3,response,odd-one-out,correct-response
C01,HV,pre,bit,beat,beat,1,1,1
C01,HV,pre,boat,boat,bout,3,3,1
C01,HV,pre,bot,bart,bot,2,2,1
C01,HV,pre,boat,bout,boat,2,2,1
C01,HV,pre,bot,bot,but,3,3,1
C01,HV,pre,buoyed,board,board,2,1,0
C01,HV,pre,put,poot,poot,1,1,1
C01,HV,pre,bird,bared,bared,3,1,0
C01,HV,pre,bait,bet,bait,2,2,1
C01,HV,pre,bot,but,bot,2,2,1
C01,HV,pre,bart,bart,bot,3,3,1
C01,HV,pre,bared,bird,bared,3,2,0
C01,HV,pre,bout,boat,bout,2,2,1
C01,HV,pre,bat,but,but,1,1,1
C01,HV,pre,bite,bit,bite,2,2,1
C01,HV,pre,bit,bet,bit,2,2,1
C01,HV,pre,bared,bird,bird,2,1,0
C01,HV,pre,bot,bart,bart,2,1,0
C01,HV,pre,bared,beard,bared,2,2,1
C01,HV,pre,bared,beard,beard,2,1,0
C01,HV,pre,board,buoyed,board,2,2,1
C01,HV,pre,bot,bot,bart,3,3,1
C01,HV,pre,bout,boat,boat,1,1,1
C01,HV,pre,bart,bert,bart,2,2,1
C01,HV,pre,poot,put,put,1,1,1
C01,HV,pre,bert,bart,bart,1,1,1
C01,HV,pre,buoyed,buoyed,board,3,3,1
C01,HV,pre,bet,bit,bet,3,2,0
C01,HV,pre,bait,bait,bet,3,3,1
C01,HV,pre,bit,bite,bit,2,2,1
C01,HV,pre,but,bart,bart,3,1,0
C01,HV,pre,put,poot,put,2,2,1
C01,HV,pre,bite,bite,bit,3,3,1
C01,HV,pre,bite,bait,bite,2,2,1
C01,HV,pre,bat,bat,but,3,3,1
C01,HV,pre,but,bart,but,2,2,1
C01,HV,pre,bait,bite,bait,3,2,0
C01,HV,pre,but,bot,bot,2,1,0
C01,HV,pre,poot,poot,put,3,3,1
C01,HV,pre,bout,bout,boat,3,3,1
C01,HV,pre,buoyed,board,buoyed,2,2,1
C01,HV,pre,bite,bite,bait,3,3,1
C01,HV,pre,bart,but,bart,1,2,0
C01,HV,pre,bert,bart,bert,2,2,1
C01,HV,pre,bit,bit,bite,3,3,1
C01,HV,pre,but,bat,but,2,2,1
C01,HV,pre,beat,beat,bit,3,3,1
C01,HV,pre,bit,bet,bet,2,1,0
C01,HV,pre,beard,bared,bared,3,1,0
C01,HV,pre,bite,bit,bit,1,1,1
C01,HV,pre,board,board,buoyed,3,3,1
C01,HV,pre,put,put,poot,3,3,1
C01,HV,pre,but,bat,bat,2,1,0
C01,HV,pre,bird,bared,bird,3,2,0
C01,HV,pre,bit,bit,beat,3,3,1
C01,HV,pre,bite,bait,bait,2,1,0
C01,HV,pre,beat,bit,beat,2,2,1
C01,HV,pre,bit,bit,bet,3,3,1
C01,HV,pre,bait,bet,bet,1,1,1
C01,HV,pre,bart,bart,but,3,3,1
C01,HV,pre,bat,but,bat,3,2,0
C01,HV,pre,bird,bird,bared,2,3,0
C01,HV,pre,bart,bert,bert,1,1,1
C01,HV,pre,bared,bared,bird,2,3,0
C01,HV,pre,but,but,bat,3,3,1
C01,HV,pre,bared,bared,beard,3,3,1
C01,HV,pre,beat,bit,bit,1,1,1
C01,HV,pre,bart,bot,bot,1,1,1
C01,HV,pre,bit,bite,bite,1,1,1
C01,HV,pre,bart,bart,bert,3,3,1
C01,HV,pre,bart,but,but,2,1,0
C01,HV,pre,boat,bout,bout,1,1,1
C01,HV,pre,bot,but,but,1,1,1
C01,HV,pre,beard,bared,beard,2,2,1
C01,HV,pre,bet,bet,bit,3,3,1
C01,HV,pre,bet,bet,bait,3,3,1
C01,HV,pre,bart,bot,bart,1,2,0
C01,HV,pre,bert,bert,bart,3,3,1
C01,HV,pre,bared,beard,beard,1,1,1
C01,HV,pre,bet,bait,bait,1,1,1
C01,HV,pre,bet,bait,bet,2,2,1
C01,HV,pre,bait,bait,bite,3,3,1
C01,HV,pre,bit,beat,bit,2,2,1
C01,HV,pre,poot,put,poot,2,2,1
C01,HV,pre,bet,bit,bit,1,1,1
C01,HV,pre,board,buoyed,buoyed,1,1,1
C01,HV,pre,bot,but,but,2,1,0
C01,HV,pre,but,but,bart,3,3,1
C01,HV,pre,bait,bite,bite,1,1,1
C01,HV,pre,but,bot,but,2,2,1
C02,HV,pre,bet,bet,bit,3,3,1
C02,HV,pre,bait,bait,bite,3,3,1
C02,HV,pre,bait,bite,bite,3,1,0
C02,HV,pre,bit,bite,bite,2,1,0
C02,HV,pre,bite,bit,bit,3,1,0
C02,HV,pre,beat,bit,bit,1,1,1
C02,HV,pre,bared,bared,bird,3,3,1
C02,HV,pre,bart,bart,but,3,3,1
C02,HV,pre,bit,bet,bit,2,2,1
C02,HV,pre,buoyed,board,board,3,1,0
C02,HV,pre,bit,bit,bite,3,3,1
C02,HV,pre,bared,bared,beard,3,3,1
C02,HV,pre,bat,but,bat,3,2,0
C02,HV,pre,bert,bart,bert,3,2,0
C02,HV,pre,bat,bat,but,3,3,1
C02,HV,pre,bart,but,but,1,1,1
C02,HV,pre,bart,bart,bert,3,3,1
C02,HV,pre,bet,bit,bet,2,2,1
C02,HV,pre,bite,bite,bit,3,3,1
C02,HV,pre,boat,bout,boat,1,2,0
C02,HV,pre,bared,beard,beard,1,1,1
C02,HV,pre,boat,boat,bout,3,3,1
C02,HV,pre,bot,bot,but,3,3,1
C02,HV,pre,bared,bird,bird,3,1,0
C02,HV,pre,bart,bot,bart,3,2,0
C02,HV,pre,buoyed,board,buoyed,3,2,0
C02,HV,pre,bart,bert,bart,1,2,0
C02,HV,pre,bared,bird,bared,3,2,0
C02,HV,pre,bit,bite,bit,2,2,1
C02,HV,pre,but,bot,bot,1,1,1
C02,HV,pre,bit,beat,bit,2,2,1
C02,HV,pre,but,bat,bat,3,1,0
C02,HV,pre,bet,bait,bet,3,2,0
C02,HV,pre,but,bart,but,2,2,1
C02,HV,pre,but,bart,bart,1,1,1
C02,HV,pre,bait,bite,bait,3,2,0
C02,HV,pre,bet,bait,bait,3,1,0
C02,HV,pre,bot,but,bot,3,2,0
C02,HV,pre,bert,bart,bart,3,1,0
C02,HV,pre,boat,bout,bout,3,1,0
C02,HV,pre,bot,but,but,1,1,1
C02,HV,pre,bart,bot,bot,2,1,0
C02,HV,pre,bird,bird,bared,1,3,0
C02,HV,pre,poot,put,poot,2,2,1
C02,HV,pre,bit,bit,bet,3,3,1
C02,HV,pre,bite,bait,bait,1,1,1
C02,HV,pre,buoyed,buoyed,board,3,3,1
C02,HV,pre,bet,bet,bait,3,3,1
C02,HV,pre,bot,bart,bart,3,1,0
C02,HV,pre,bird,bared,bird,2,2,1
C02,HV,pre,but,bat,but,3,2,0
C02,HV,pre,poot,put,put,1,1,1
C02,HV,pre,but,but,bat,3,3,1
C02,HV,pre,bot,bart,bot,1,2,0
