participant,group,speaker,image1,image2,image3,target,response,correct
C01-LV,LV,S06F,tears,food,suit,food,food,1
C01-LV,LV,S08M,toys,hat,bike,toys,toys,1
C01-LV,LV,S0M,kite,leg,paws,kite,kite,1
C01-LV,LV,S0M,foot,shark,cat,shark,shark,1
C01-LV,LV,S07,book,cake,teeth,teeth,teeth,1
C01-LV,LV,S07,ball,piers,shirt,ball,ball,1
C01-LV,LV,S06F,suit,pears,foot,foot,suit,0
C01-LV,LV,S07,coat,gate,foot,coat,gate,0
C01-LV,LV,S08M,ring,teeth,bike,bike,bike,1
C01-LV,LV,S06F,toys,shark,cup,toys,toys,1
C01-LV,LV,S08M,skirt,hat,food,food,food,1
C01-LV,LV,S06F,suit,bike,park,bike,bike,1
C01-LV,LV,S06F,cut,paws,cot,paws,paws,1
C01-LV,LV,S08M,piers,hat,shark,piers,piers,1
C01-LV,LV,S07,ring,skirt,boys,skirt,skirt,1
C01-LV,LV,S06F,shirt,cake,bees,shirt,shirt,1
C01-LV,LV,S0M,skirt,cut,boys,boys,boys,1
C01-LV,LV,S07,paws,lid,house,paws,paws,1
C01-LV,LV,S0M,foot,park,pears,park,park,1
C01-LV,LV,S08M,foot,cot,kite,kite,kite,1
C01-LV,LV,S0M,toys,road,shark,road,road,1
C01-LV,LV,S06F,cup,cut,coat,cut,cut,1
C01-LV,LV,S0M,kite,bees,toys,toys,toys,1
C01-LV,LV,S06F,bears,ten,cat,bears,bears,1
C01-LV,LV,S07,boys,ball,park,park,park,1
C01-LV,LV,S06F,shark,cake,cut,shark,shark,1
C01-LV,LV,S08M,cut,park,food,park,park,1
C01-LV,LV,S07,park,pears,cut,cut,cut,1
C01-LV,LV,S08M,park,foot,ten,foot,foot,1
C01-LV,LV,S0M,tears,teeth,ring,ring,ring,1
C01-LV,LV,S08M,park,teeth,suit,suit,suit,1
C01-LV,LV,S08M,boys,park,pears,boys,boys,1
C01-LV,LV,S0M,suit,cut,ring,cut,cut,1
C01-LV,LV,S08M,bears,lid,paws,bears,paws,0
C01-LV,LV,S08M,cup,ball,cut,ball,ball,1
C01-LV,LV,S0M,cat,ten,paws,ten,ten,1
C01-LV,LV,S07,leg,cot,paws,cot,cot,1
C01-LV,LV,S0M,bears,book,clock,bears,bears,1
C01-LV,LV,S08M,book,ball,suit,book,book,1
C01-LV,LV,S08M,lid,clock,bees,clock,clock,1
C01-LV,LV,S08M,shirt,ten,park,shirt,shirt,1
C01-LV,LV,S06F,piers,bears,gate,piers,piers,1
C01-LV,LV,S07,toys,cut,park,toys,toys,1
C01-LV,LV,S0M,cat,lid,coat,cat,cat,1
C01-LV,LV,S06F,ball,lid,cup,cup,cup,1
C01-LV,LV,S08M,cut,hat,road,hat,hat,1
C01-LV,LV,S0M,toys,house,piers,piers,piers,1
C01-LV,LV,S08M,cup,road,coat,coat,coat,1
C01-LV,LV,S06F,piers,book,skirt,skirt,skirt,1
C01-LV,LV,S08M,lid,ring,house,lid,lid,1
C01-LV,LV,S0M,clock,hat,cup,hat,hat,1
C01-LV,LV,S07,kite,cot,house,kite,kite,1
C01-LV,LV,S0M,cake,park,road,cake,cake,1
C01-LV,LV,S0M,cot,coat,ball,coat,coat,1
C01-LV,LV,S06F,boys,leg,cake,boys,boys,1
C01-LV,LV,S08M,tears,cup,road,road,road,1
C01-LV,LV,S0M,park,pears,house,pears,pears,1
C01-LV,LV,S07,bears,lid,pears,pears,pears,1
C01-LV,LV,S06F,leg,hat,cake,cake,cake,1
C01-LV,LV,S08M,book,cot,skirt,cot,cot,1
C01-LV,LV,S07,kite,ball,leg,leg,leg,1
C01-LV,LV,S07,tears,coat,gate,gate,tears,0
C01-LV,LV,S08M,skirt,cake,clock,cake,cake,1
C01-LV,LV,S08M,toys,bike,pears,pears,pears,1
C01-LV,LV,S06F,clock,pears,ball,pears,pears,1
C01-LV,LV,S06F,boys,hat,lid,lid,lid,1
C01-LV,LV,S07,gate,skirt,mouse,mouse,mouse,1
C01-LV,LV,S07,road,house,bike,road,road,1
C01-LV,LV,S0M,park,clock,cake,clock,clock,1
C01-LV,LV,S07,road,cat,bears,cat,cat,1
C01-LV,LV,S06F,shirt,cat,park,park,park,1
C01-LV,LV,S0M,ball,coat,hat,ball,ball,1
C01-LV,LV,S0M,park,boys,mouse,mouse,mouse,1
C01-LV,LV,S0M,cake,leg,bees,bees,bees,1
C01-LV,LV,S06F,gate,cup,teeth,gate,gate,1
C01-LV,LV,S08M,cut,park,mouse,cut,cut,1
C01-LV,LV,S07,tears,park,house,house,house,1
C01-LV,LV,S06F,coat,kite,skirt,coat,coat,1
C01-LV,LV,S07,kite,teeth,hat,hat,hat,1
C01-LV,LV,S06F,book,cut,kite,kite,cut,0
C01-LV,LV,S07,shark,park,boys,boys,boys,1
C01-LV,LV,S07,foot,bike,paws,foot,foot,1
C01-LV,LV,S07,food,paws,teeth,food,food,1
C01-LV,LV,S08M,skirt,food,shark,skirt,skirt,1
C01-LV,LV,S0M,ring,shirt,suit,suit,suit,1
C01-LV,LV,S07,ring,cup,shirt,cup,cup,1
C01-LV,LV,S07,boys,piers,bears,bears,bears,1
C01-LV,LV,S0M,teeth,ball,hat,teeth,teeth,1
C01-LV,LV,S07,ring,cat,house,ring,ring,1
C01-LV,LV,S0M,paws,mouse,ring,paws,paws,1
C01-LV,LV,S07,suit,pears,piers,piers,piers,1
C01-LV,LV,S07,suit,hat,shark,suit,suit,1
C01-LV,LV,S0M,cat,skirt,road,skirt,skirt,1
C01-LV,LV,S08M,cot,leg,gate,gate,gate,1
C01-LV,LV,S08M,cup,bees,cut,cup,cup,1
C01-LV,LV,S07,ring,book,kite,book,book,1
C01-LV,LV,S07,leg,ring,clock,clock,clock,1
C01-LV,LV,S06F,bees,lid,shark,bees,bees,1
C01-LV,LV,S06F,teeth,book,pears,teeth,teeth,1
C01-LV,LV,S0M,clock,pears,cot,cot,cot,1
C01-LV,LV,S0M,house,mouse,suit,house,mouse,0
C01-LV,LV,S06F,book,cat,toys,cat,cat,1
C01-LV,LV,S06F,foot,mouse,book,book,book,1
C01-LV,LV,S0M,leg,cut,gate,gate,gate,1
C01-LV,LV,S08M,park,cup,house,house,house,1
C01-LV,LV,S06F,house,ring,gate,ring,ring,1
C01-LV,LV,S0M,toys,road,bike,bike,bike,1
C01-LV,LV,S06F,clock,tears,suit,clock,clock,1
C01-LV,LV,S06F,ball,bears,ten,ten,ten,1
C01-LV,LV,S07,piers,bike,ten,ten,ten,1
C01-LV,LV,S07,ring,cake,food,cake,cake,1
C01-LV,LV,S0M,cot,shirt,teeth,shirt,shirt,1
C01-LV,LV,S07,leg,foot,bike,bike,bike,1
C01-LV,LV,S08M,park,paws,cake,paws,paws,1
C01-LV,LV,S06F,house,pears,boys,house,house,1
C01-LV,LV,S06F,leg,cot,ball,ball,ball,1
C01-LV,LV,S07,lid,tears,bees,lid,lid,1
C01-LV,LV,S06F,hat,cake,cot,hat,hat,1
C01-LV,LV,S06F,piers,teeth,cot,cot,cot,1
C01-LV,LV,S0M,foot,gate,teeth,foot,foot,1
C01-LV,LV,S06F,kite,leg,suit,leg,leg,1
C01-LV,LV,S08M,coat,teeth,shark,teeth,teeth,1
C01-LV,LV,S07,clock,shark,book,shark,shark,1
C01-LV,LV,S06F,boys,tears,hat,tears,tears,1
C01-LV,LV,S08M,piers,ten,cup,ten,ten,1
C01-LV,LV,S07,shark,tears,skirt,tears,tears,1
C01-LV,LV,S0M,gate,shark,lid,lid,lid,1
C01-LV,LV,S08M,cot,kite,mouse,mouse,mouse,1
C01-LV,LV,S0M,tears,book,clock,tears,tears,1
C01-LV,LV,S08M,bees,leg,road,bees,bees,1
C01-LV,LV,S06F,shirt,suit,hat,suit,suit,1
C01-LV,LV,S08M,cake,bears,tears,tears,tears,1
C01-LV,LV,S08M,ring,cat,bike,cat,cat,1
C01-LV,LV,S08M,piers,leg,teeth,leg,leg,1
C01-LV,LV,S08M,foot,shark,shirt,shark,shark,1
C01-LV,LV,S0M,skirt,cut,leg,leg,leg,1
C01-LV,LV,S07,shirt,lid,piers,shirt,shirt,1
C01-LV,LV,S0M,teeth,cup,boys,cup,cup,1
C01-LV,LV,S0M,toys,ring,food,food,food,1
