Participant,Test,Group,stimulus,word,response,IDaccuracy,Goodness
VID_Listener4,post,HV,C010HV-had,had,hoed,0,2
VID_Listener5,post,HV,C010HV-had,had,hard,0,3
VID_Listener1,post,HV,C010HV-had,had,had,1,4
VID_Listener2,post,HV,C010HV-had,had,had,1,6
VID_Listener3,post,HV,C010HV-had,had,had,1,6
VID_Listener5,post,HV,C010HV-haired,haired,hayed,0,3
VID_Listener2,post,HV,C010HV-haired,haired,had,0,4
VID_Listener1,post,HV,C010HV-haired,haired,haired,1,5
VID_Listener4,post,HV,C010HV-haired,haired,had,0,5
VID_Listener3,post,HV,C010HV-haired,haired,head,0,6
VID_Listener2,post,HV,C010HV-hard,hard,hard,1,5
VID_Listener3,post,HV,C010HV-hard,hard,hard,1,5
VID_Listener5,post,HV,C010HV-hard,hard,hard,1,5
VID_Listener4,post,HV,C010HV-hard,hard,hide,0,6
VID_Listener1,post,HV,C010HV-hard,hard,hard,1,7
VID_Listener4,post,HV,C010HV-hayed,hayed,hear,0,1
VID_Listener1,post,HV,C010HV-hayed,hayed,hayed,1,5
VID_Listener3,post,HV,C010HV-hayed,hayed,hayed,1,5
VID_Listener5,post,HV,C010HV-hayed,hayed,hayed,1,5
VID_Listener2,post,HV,C010HV-hayed,hayed,hide,0,7
VID_Listener5,post,HV,C010HV-head,head,hud,0,5
VID_Listener1,post,HV,C010HV-head,head,head,1,6
VID_Listener3,post,HV,C010HV-head,head,head,1,6
VID_Listener2,post,HV,C010HV-head,head,hid,0,7
VID_Listener4,post,HV,C010HV-head,head,whod,0,7
VID_Listener5,post,HV,C010HV-hear,hear,hear,1,6
VID_Listener1,post,HV,C010HV-hear,hear,hear,1,7
VID_Listener2,post,HV,C010HV-hear,hear,hear,1,7
VID_Listener3,post,HV,C010HV-hear,hear,hear,1,7
VID_Listener4,post,HV,C010HV-hear,hear,hear,1,7
VID_Listener5,post,HV,C010HV-heard,heard,hood,0,3
VID_Listener1,post,HV,C010HV-heard,heard,heard,1,4
VID_Listener3,post,HV,C010HV-heard,heard,heard,1,5
VID_Listener4,post,HV,C010HV-heard,heard,hayed,0,5
VID_Listener2,post,HV,C010HV-heard,heard,hood,0,6
VID_Listener4,post,HV,C010HV-heed,heed,haired,0,1
VID_Listener1,post,HV,C010HV-heed,heed,hear,0,2
VID_Listener3,post,HV,C010HV-heed,heed,head,0,5
VID_Listener5,post,HV,C010HV-heed,heed,heed,1,5
VID_Listener2,post,HV,C010HV-heed,heed,heed,1,7
VID_Listener3,post,HV,C010HV-hid,hid,head,0,4
VID_Listener1,post,HV,C010HV-hid,hid,hid,1,5
VID_Listener5,post,HV,C010HV-hid,hid,hid,1,5
VID_Listener4,post,HV,C010HV-hid,hid,hoed,0,6
VID_Listener2,post,HV,C010HV-hid,hid,hid,1,7
VID_Listener4,post,HV,C010HV-hide,hide,hood,0,3
VID_Listener3,post,HV,C010HV-hide,hide,hide,1,5
VID_Listener5,post,HV,C010HV-hide,hide,hide,1,6
VID_Listener1,post,HV,C010HV-hide,hide,hide,1,7
VID_Listener2,post,HV,C010HV-hide,hide,hide,1,7
VID_Listener4,post,HV,C010HV-hoard,hoard,hod,0,2
VID_Listener5,post,HV,C010HV-hoard,hoard,hoyd,0,3
VID_Listener3,post,HV,C010HV-hoard,hoard,hard,0,5
VID_Listener1,post,HV,C010HV-hoard,hoard,hard,0,6
VID_Listener2,post,HV,C010HV-hoard,hoard,hard,0,6
VID_Listener3,post,HV,C010HV-hod,hod,hod,1,4
VID_Listener5,post,HV,C010HV-hod,hod,hod,1,4
VID_Listener1,post,HV,C010HV-hod,hod,hud,0,5
VID_Listener2,post,HV,C010HV-hod,hod,hud,0,5
VID_Listener4,post,HV,C010HV-hod,hod,hoard,0,5
VID_Listener3,post,HV,C010HV-hoed,hoed,hayed,0,3
VID_Listener4,post,HV,C010HV-hoed,hoed,heed,0,3
VID_Listener1,post,HV,C010HV-hoed,hoed,haired,0,5
VID_Listener2,post,HV,C010HV-hoed,hoed,howd,0,5
VID_Listener5,post,HV,C010HV-hoed,hoed,hoed,1,5
VID_Listener5,post,HV,C010HV-hood,hood,hood,1,3
VID_Listener2,post,HV,C010HV-hood,hood,hood,1,5
VID_Listener3,post,HV,C010HV-hood,hood,hood,1,5
VID_Listener1,post,HV,C010HV-hood,hood,hood,1,6
VID_Listener4,post,HV,C010HV-hood,hood,whod,0,7
VID_Listener5,post,HV,C010HV-howd,howd,howd,1,4
VID_Listener1,post,HV,C010HV-howd,howd,howd,1,5
VID_Listener3,post,HV,C010HV-howd,howd,howd,1,5
VID_Listener2,post,HV,C010HV-howd,howd,howd,1,7
VID_Listener4,post,HV,C010HV-howd,howd,hid,0,7
VID_Listener3,post,HV,C010HV-hoyd,hoyd,hide,0,2
VID_Listener1,post,HV,C010HV-hoyd,hoyd,hide,0,3
VID_Listener5,post,HV,C010HV-hoyd,hoyd,hoyd,1,4
VID_Listener2,post,HV,C010HV-hoyd,hoyd,hide,0,6
VID_Listener4,post,HV,C010HV-hoyd,hoyd,hide,0,7
VID_Listener5,post,HV,C010HV-hud,hud,had,0,3
VID_Listener1,post,HV,C010HV-hud,hud,had,0,4
VID_Listener3,post,HV,C010HV-hud,hud,had,0,5
VID_Listener4,post,HV,C010HV-hud,hud,hoard,0,5
VID_Listener2,post,HV,C010HV-hud,hud,had,0,7
VID_Listener3,post,HV,C010HV-whod,whod,hood,0,1
VID_Listener4,post,HV,C010HV-whod,whod,haired,0,1
VID_Listener1,post,HV,C010HV-whod,whod,hood,0,2
VID_Listener5,post,HV,C010HV-whod,whod,whod,1,2
VID_Listener2,post,HV,C010HV-whod,whod,whod,1,6
VID_Listener5,pre,LV,C010re-had,had,had,1,2
VID_Listener1,pre,LV,C010re-had,had,head,0,5
VID_Listener3,pre,LV,C010re-had,had,head,0,5
VID_Listener4,pre,LV,C010re-had,had,hard,0,5
VID_Listener2,pre,LV,C010re-had,had,had,1,6
VID_Listener1,pre,LV,C010re-haired,haired,heard,0,1
VID_Listener2,pre,LV,C010re-haired,haired,head,0,4
VID_Listener5,pre,LV,C010re-haired,haired,heard,0,4
VID_Listener3,pre,LV,C010re-haired,haired,haired,1,5
VID_Listener4,pre,LV,C010re-haired,haired,head,0,7
VID_Listener1,pre,LV,C010re-hard,hard,hard,1,1
VID_Listener5,pre,LV,C010re-hard,hard,hoed,0,2
VID_Listener3,pre,LV,C010re-hard,hard,hud,0,3
VID_Listener4,pre,LV,C010re-hard,hard,hide,0,4
VID_Listener2,pre,LV,C010re-hard,hard,hard,1,5
VID_Listener3,pre,LV,C010re-hayed,hayed,had,0,1
VID_Listener5,pre,LV,C010re-hayed,hayed,hoed,0,3
VID_Listener1,pre,LV,C010re-hayed,hayed,hayed,1,5
VID_Listener4,pre,LV,C010re-hayed,hayed,hayed,1,5
VID_Listener2,pre,LV,C010re-hayed,hayed,hide,0,7
VID_Listener1,pre,LV,C010re-head,head,head,1,5
VID_Listener5,pre,LV,C010re-head,head,hud,0,5
VID_Listener2,pre,LV,C010re-head,head,hid,0,6
VID_Listener3,pre,LV,C010re-head,head,head,1,6
VID_Listener4,pre,LV,C010re-head,head,hayed,0,6
VID_Listener1,pre,LV,C010re-hear,hear,hear,1,3
VID_Listener3,pre,LV,C010re-hear,hear,whod,0,3
VID_Listener4,pre,LV,C010re-hear,hear,hear,1,5
VID_Listener2,pre,LV,C010re-hear,hear,hear,1,6
VID_Listener5,pre,LV,C010re-hear,hear,whod,0,6
VID_Listener4,pre,LV,C010re-heard,heard,head,0,3
VID_Listener5,pre,LV,C010re-heard,heard,hod,0,3
VID_Listener1,pre,LV,C010re-heard,heard,heard,1,4
