participant,vowel,duration,group,test,V,C
C010,had,186,HV,post,had,True
C010,hard,282,HV,post,had,False
C010,head,138,HV,post,heard,False
C010,heard,286,HV,post,hoard,False
C010,heed,273,HV,post,heed,True
C010,hid,123,HV,post,head,False
C010,hoard,269,HV,post,hard,False
C010,hod,105,HV,post,hud,False
C010,hood,92,HV,post,hood,True
C010,hud,103,HV,post,had,False
C010,whod,172,HV,post,whod,True
C011,had,160,HV,post,hod,False
C011,hard,234,HV,post,had,False
C011,head,91,HV,post,head,True
C011,heard,216,HV,post,hard,False
C011,heed,209,HV,post,whod,False
C011,hid,87,HV,post,head,False
C011,hoard,264,HV,post,hod,False
C011,hod,59,HV,post,hoard,False
C011,hood,80,HV,post,heard,False
C011,hud,126,HV,post,hard,False
C011,whod,211,HV,post,hoard,False
C012,had,180,HV,post,had,True
C012,hard,276,HV,post,had,False
C012,head,146,HV,post,head,True
C012,heard,226,HV,post,head,False
C012,heed,208,HV,post,heed,True
C012,hid,114,HV,post,hid,True
C012,hoard,247,HV,post,hoard,True
C012,hod,124,HV,post,heard,False
C012,hood,165,HV,post,head,False
C012,hud,125,HV,post,had,False
C012,whod,222,HV,post,whod,True
C013,had,221,HV,post,hud,False
C013,hard,262,HV,post,head,False
C013,head,123,HV,post,hod,False
C013,heard,261,HV,post,hoard,False
C013,heed,280,HV,post,heed,True
C013,hid,90,HV,post,hood,False
C013,hoard,251,HV,post,hard,False
C013,hod,114,HV,post,hoard,False
C013,hood,87,HV,post,hoard,False
C013,hud,120,HV,post,head,False
C013,whod,282,HV,post,hoard,False
C014,had,333,HV,post,had,True
C014,hard,129,HV,post,had,False
C014,heard,301,HV,post,heard,True
C014,heed,365,HV,post,whod,False
C014,hid,176,HV,post,hid,True
C014,hoard,310,HV,post,heard,False
C014,hod,285,HV,post,hoard,False
C014,hood,107,HV,post,hoard,False
C014,hud,143,HV,post,heard,False
C014,whod,233,HV,post,hoard,False
C014,head,198,HV,post,head,True
C015,had,190,HV,post,hard,False
C015,hard,284,HV,post,hud,False
C015,head,115,HV,post,hard,False
C015,heard,208,HV,post,head,False
C015,heed,223,HV,post,heed,True
C015,hid,106,HV,post,hid,True
C015,hoard,266,HV,post,hod,False
C015,hod,97,HV,post,hod,True
C015,hood,114,HV,post,hoard,False
C015,hud,145,HV,post,heard,False
C015,whod,204,HV,post,hoard,False
C017,had,198,HV,post,head,False
C017,hard,154,HV,post,hod,False
C017,head,111,HV,post,head,True
C017,heard,244,HV,post,heard,True
C017,heed,200,HV,post,hid,False
C017,hid,116,HV,post,hid,True
C017,hoard,153,HV,post,hoard,True
C017,hod,182,HV,post,hod,True
C017,hood,163,HV,post,hod,False
C017,hud,127,HV,post,hod,False
C017,whod,175,HV,post,whod,True
C018,had,271,HV,post,had,True
C018,hard,244,HV,post,head,False
C018,head,114,HV,post,heard,False
C018,heard,247,HV,post,head,False
C018,heed,237,HV,post,heed,True
C018,hid,167,HV,post,hid,True
C018,hoard,294,HV,post,hoard,True
C018,hod,179,HV,post,hod,True
C018,hood,157,HV,post,hood,True
C018,hud,152,HV,post,head,False
C018,whod,292,HV,post,whod,True
C019,had,113,HV,post,head,False
C019,hard,246,HV,post,hud,False
C019,head,243,HV,post,head,True
C019,heard,225,HV,post,hoard,False
C019,heed,268,HV,post,hid,False
C019,hid,98,HV,post,whod,False
C019,hoard,197,HV,post,hoard,True
C019,hod,101,HV,post,hod,True
C019,hood,121,HV,post,hood,True
C019,hud,129,HV,post,had,False
C019,whod,268,HV,post,whod,True
C01,had,240,HV,post,had,True
C01,hard,233,HV,post,hod,False
C01,head,184,HV,post,hid,False
C01,heard,308,HV,post,heard,True
C01,heed,295,HV,post,whod,False
C01,hid,144,HV,post,hid,True
C01,hoard,239,HV,post,hoard,True
C01,hod,141,HV,post,hod,True
C01,hood,130,HV,post,hoard,False
C01,hud,214,HV,post,had,False
C01,whod,207,HV,post,hoard,False
C020,had,217,HV,post,had,True
C020,hard,310,HV,post,hoard,False
C020,head,147,HV,post,head,True
C020,heard,235,HV,post,head,False
C020,heed,226,HV,post,heed,True
C020,hid,273,HV,post,whod,False
C020,hoard,262,HV,post,hoard,True
C020,hod,184,HV,post,hod,True
C020,hood,218,HV,post,hoard,False
C020,hud,136,HV,post,hod,False
C020,whod,296,HV,post,hoard,False
C021,had,248,HV,post,hud,False
C021,hard,380,HV,post,hod,False
C021,head,92,HV,post,head,True
C021,heard,362,HV,post,hard,False
C021,heed,403,HV,post,hoard,False
C021,hid,65,HV,post,hid,True
C021,hoard,397,HV,post,hod,False
C021,hod,122,HV,post,hod,True
C021,hood,189,HV,post,whod,False
C021,hud,158,HV,post,hoard,False
C021,whod,418,HV,post,hid,False
C023,had,250,HV,post,had,True
C023,hard,421,HV,post,hud,False
C023,head,148,HV,post,hid,False
C023,heard,304,HV,post,hoard,False
C023,heed,344,HV,post,heed,True
C023,hid,142,HV,post,hid,True
C023,hoard,322,HV,post,hoard,True
C023,hod,177,HV,post,hoard,False
C023,hood,178,HV,post,hoard,False
C023,hud,128,HV,post,head,False
C023,whod,287,HV,post,whod,True
C024,had,268,HV,post,had,True
C024,hard,295,HV,post,had,False
C024,head,191,HV,post,head,True
C024,heard,293,HV,post,hod,False
C024,heed,320,HV,post,heed,True
C024,hid,124,HV,post,hid,True
C024,hoard,319,HV,post,hoard,True
C024,hod,187,HV,post,hard,False
C024,hood,125,HV,post,head,False
C024,hud,151,HV,post,head,False
C024,whod,396,HV,post,hoard,False
C02,had,287,HV,post,head,False
C02,hard,308,HV,post,had,False
C02,head,231,HV,post,whod,False
C02,heard,322,HV,post,head,False
C02,heed,369,HV,post,heed,True
C02,hid,156,HV,post,hid,True
C02,hoard,440,HV,post,hoard,True
C02,hod,252,HV,post,hud,False
C02,hood,143,HV,post,head,False
C02,hud,194,HV,post,hoard,False
C02,whod,330,HV,post,whod,True
C03,had,212,HV,post,hoard,False
C03,hard,319,HV,post,hard,True
C03,head,202,HV,post,hoard,False
C03,heard,395,HV,post,hoard,False
C03,heed,408,HV,post,hid,False
C03,hid,155,HV,post,hid,True
C03,hoard,340,HV,post,hoard,True
C03,hod,206,HV,post,hod,True
C03,hood,217,HV,post,whod,False
C03,hud,194,HV,post,had,False
C03,whod,398,HV,post,whod,True
C04,had,392,HV,post,had,True
C04,hard,502,HV,post,hod,False
C04,head,255,HV,post,hoard,False
C04,heard,450,HV,post,hood,False
C04,heed,432,HV,post,heed,True
