group,test,speaker,vowel,f1,f2
LV,pre,C01,had,1.13165150239477,0.578086627953508
LV,pre,C01,hard,1.11094354650157,-0.871124197779091
LV,pre,C01,head,0.482795947103837,0.999434952125731
LV,pre,C01,heard,-0.511562296095099,-0.226034707911306
LV,pre,C01,heed,-1.85685021100789,2.10161583359708
LV,pre,C01,hid,-0.145868079673108,1.15458566412355
LV,pre,C01,hoard,-0.152222770704933,-1.04854025798246
LV,pre,C01,hod,0.158089477598824,-0.932187066155609
LV,pre,C01,hood,-0.126841189798463,-0.353714036168182
LV,pre,C01,hud,0.75293739918408,0.131892921553977
LV,pre,C01,whod,-1.60095225424718,-1.23109426801346
LV,pre,C010,had,1.35619000769228,0.0459630190476197
LV,pre,C010,hard,1.36084759333991,-1.15355347533363
LV,pre,C010,head,-0.350877678456702,-2.02081146778354
LV,pre,C010,heard,0.833314128158527,0.029050734838967
LV,pre,C010,heed,-1.34611171181156,1.76244252335942
LV,pre,C010,hid,-0.95548743674449,1.25912981036495
LV,pre,C010,hoard,-0.0453601058790223,-1.06543219088023
LV,pre,C010,hod,-0.0453601058790223,-0.294717670563336
LV,pre,C010,hood,-0.56114492704244,-0.141502194750404
LV,pre,C010,hud,1.24793831569371,-0.282180381737477
LV,pre,C010,whod,-1.77669963273736,-0.597522481339683
LV,pre,C011,had,1.32037209767413,0.286048742019159
LV,pre,C011,hard,1.31413981873379,-0.445579717849971
LV,pre,C011,head,-0.62231533035502,-0.742583373502838
LV,pre,C011,heard,0.302659491248999,-0.54390480280319
LV,pre,C011,heed,-0.958684358607416,1.44403173196204
LV,pre,C011,hid,-0.926604562155742,0.878193828388168
LV,pre,C011,hoard,0.154639273631751,-1.69350675796802
LV,pre,C011,hod,0.378711522006723,-0.899567760927784
LV,pre,C011,hood,-1.12795675354638,0.368523699379272
LV,pre,C011,hud,1.08582001078408,-0.352332428523158
LV,pre,C011,whod,-1.74282857183707,0.610691702992163
LV,pre,C012,had,0.833214743093903,0.614187323477984
LV,pre,C012,hard,1.10454044721884,-0.326427202068043
LV,pre,C012,head,-0.155865634204318,1.23266587885594
LV,pre,C012,heard,0.780939527723319,0.533356471269933
LV,pre,C012,heed,-0.939293006729881,0.0163957837082409
LV,pre,C012,hid,-0.0416742311497594,1.1582167960168
LV,pre,C012,hoard,0.838995149767433,-1.31810966180604
LV,pre,C012,hod,-0.155865634204318,-1.48582717895636
LV,pre,C012,hood,0.174342293118008,-0.27215370461345
LV,pre,C012,hud,1.43217852163169,0.356359358156718
LV,pre,C012,whod,-1.64477164163922,-0.876937841836539
LV,pre,C013,had,1.52743076732919,0.587305382241858
LV,pre,C013,hard,1.51773732122607,-0.0273038140328281
LV,pre,C013,head,-0.15304435152869,0.767252453553958
LV,pre,C013,heard,1.60097359836406,0.394199398654152
LV,pre,C013,heed,-1.3279609357013,1.35169862442169
LV,pre,C013,hid,-0.341340280074029,0.892679046126018
LV,pre,C013,hoard,-0.272901766270048,-0.879274802951918
LV,pre,C013,hod,-0.341340280074029,-0.682397773749372
LV,pre,C013,hood,-0.129427067104392,-0.564811922207096
LV,pre,C013,hud,0.34527254875978,-2.0409299162591
LV,pre,C013,whod,-0.959015415106398,-0.586570256954114
LV,pre,C014,had,0.87924494696454,-0.738217231152775
LV,pre,C014,hard,0.797888838384057,-0.129153844091551
LV,pre,C014,head,0.460795715728028,-1.36016573827113
LV,pre,C014,heard,1.15533710392788,-0.792106353976519
LV,pre,C014,heed,-1.50559278933916,1.9066768145289
LV,pre,C014,hid,-1.51293063691448,1.22098821008857
LV,pre,C014,hoard,-0.0827821115090375,-0.89803231336152
LV,pre,C014,hod,0.240104530351082,-0.823009563612486
LV,pre,C014,hood,-0.324014985111589,0.441399701665766
LV,pre,C014,hud,0.864076553145518,0.269791604455239
LV,pre,C014,whod,-1.79761124849797,-0.487203025247344
LV,pre,C015,had,0.820826503190606,-0.33445770779129
LV,pre,C015,hard,0.883675939284241,-0.950834222078994
LV,pre,C015,head,1.05591679812689,0.56392690536527
LV,pre,C015,heard,0.987806532977518,0.381422366596191
LV,pre,C015,heed,-0.155036141063205,1.06861545310905
LV,pre,C015,hid,-1.49949707727487,0.875631708749074
LV,pre,C015,hoard,0.372816517759185,-1.29031658533144
LV,pre,C015,hod,0.109067132006087,-1.43947239063784
LV,pre,C015,hood,-1.07432875623318,-1.06306346030404
LV,pre,C015,hud,-1.34003082720364,-1.46251209201476
LV,pre,C015,whod,-1.57463498256941,-0.249837295226342
LV,pre,C016,had,0.935268658150031,0.623755533688802
LV,pre,C016,hard,0.483549162547101,-1.50581938570616
LV,pre,C016,head,0.066108289846875,0.738893167147867
LV,pre,C016,heard,0.921338283019175,0.54085013792198
LV,pre,C016,heed,-1.32622498641926,-1.35612880322883
LV,pre,C016,hid,-1.73329722379276,0.745731572759355
LV,pre,C016,hoard,-1.03542855419837,-2.15747265678884
LV,pre,C016,hod,0.120498885433742,-1.27259103090973
LV,pre,C016,hood,0.371917975893123,0.356476152788381
LV,pre,C016,hud,1.24862455092019,0.730323113957715
LV,pre,C016,whod,-1.29853392432098,0.199630938405049
LV,pre,C017,had,1.06743795861901,-0.424593860203129
LV,pre,C017,hard,0.799924904842163,-0.432803525883857
LV,pre,C017,head,-0.114011273299555,1.28758251697787
LV,pre,C017,heard,1.47784582834096,-1.27283917408612
LV,pre,C017,heed,-1.68426418314644,1.831092416886
LV,pre,C017,hid,-0.44573618752873,1.46729023037818
LV,pre,C017,hoard,-0.408636469804734,-0.507750160127955
LV,pre,C017,hod,-0.131633056751045,-0.676965549346064
LV,pre,C017,hood,-0.470597205389589,0.676659092436709
LV,pre,C017,hud,1.66291294337637,-0.586822375346022
LV,pre,C017,whod,-1.58683203292414,-0.106878591170907
LV,pre,C018,had,1.50581789383892,0.0230950321452153
LV,pre,C018,hard,0.652015722387074,-0.555442978036524
LV,pre,C018,head,0.0501543603884122,0.123598046242002
LV,pre,C018,heard,-0.728829100976781,-0.348856184754553
LV,pre,C018,heed,-1.21737073134192,1.93626015339131
LV,pre,C018,hid,-1.04134419168704,0.883335641626761
LV,pre,C018,hoard,1.53975592263409,-0.595663277233875
LV,pre,C018,hod,0.144071071594667,-0.486093532744358
LV,pre,C018,hood,-1.08153250258714,0.521562289018769
LV,pre,C018,hud,1.18527106730562,-0.267102320778887
LV,pre,C018,whod,-1.272529849738,-0.75573477047745
LV,pre,C019,had,1.5872159437778,-0.106576638397613
LV,pre,C019,hard,0.65394336101517,-1.13174662261918
LV,pre,C019,head,0.430204775146096,0.780194271213569
LV,pre,C019,heard,0.532471091595084,0.219928893223931
LV,pre,C019,heed,-1.27009820334462,0.952490089792236
LV,pre,C019,hid,-1.0536660460832,1.02457236089176
LV,pre,C019,hoard,-0.00304015863592748,-1.78608478646653
LV,pre,C019,hod,0.435631333934283,-1.04526775696303
LV,pre,C019,hood,-0.301675755310903,0.430622539668669
LV,pre,C019,hud,0.864401800303199,-0.640041765898235
LV,pre,C019,whod,-1.56739684228086,1.21983645796076
LV,pre,C02,had,1.29450780536935,-0.372921815807478
LV,pre,C02,hard,1.05431694666767,-0.544274213510297
LV,pre,C02,head,-0.271186648552167,1.5032428697939
LV,pre,C02,heard,0.503254489297477,-0.731776171653029
LV,pre,C02,heed,-1.7450391746605,1.78351274017403
LV,pre,C02,hid,-0.499354703937172,1.01852682632406
LV,pre,C02,hoard,0.257425137849219,-0.824253048681179
LV,pre,C02,hod,0.469532030659438,-0.804058213302126
LV,pre,C02,hood,0.000969088667286991,-0.694947281348937
LV,pre,C02,hud,0.812415504009489,-0.460972725940039
LV,pre,C02,whod,-1.42457099179521,-0.169565581256406
LV,pre,C020,had,0.960131756011636,-1.94193641300704
LV,pre,C020,hard,0.406915083513577,-0.813264527365735
LV,pre,C020,head,0.195331272815434,0.844431485880143
LV,pre,C020,heard,0.221566846953602,-0.293181831935181
LV,pre,C020,heed,-1.71194706685333,1.73888006486949
LV,pre,C020,hid,-0.455616607464827,1.08748962769262
LV,pre,C020,hoard,0.168972884086025,-1.16394930956767
LV,pre,C020,hod,0.620450467669351,-1.07849902522911
LV,pre,C020,hood,0.0891520053788878,-0.467994401994366
LV,pre,C020,hud,0.750370140355311,-0.556444751272896
LV,pre,C020,whod,-1.3683921582375,0.571115776872274
LV,pre,C021,had,0.922566152555723,-0.743764565827653
LV,pre,C021,hard,0.629054335182096,-0.667964620357
LV,pre,C021,head,-0.0385251508187639,1.20074711928524
LV,pre,C021,heard,0.874167466279142,-0.129151800270423
LV,pre,C021,heed,-1.74682087545993,1.12704356563629
LV,pre,C021,hid,-0.556522784077969,1.31404684623069
LV,pre,C021,hoard,-1.69486493463695,-1.62551883035217
LV,pre,C021,hod,-0.266072091879276,-0.921312636380739
LV,pre,C021,hood,0.599157751026609,0.736791791465905
LV,pre,C021,hud,1.52865528690682,-0.000632492937274357
LV,pre,C021,whod,-1.36142600804901,-1.74384292487977
LV,pre,C022,had,1.09516868017306,-0.0393893178254976
LV,pre,C022,hard,0.977634561599148,-0.66865625504372
LV,pre,C022,head,0.811931673297067,0.274641173237718
LV,pre,C022,heard,0.508817728028981,-0.0219110526123315
LV,pre,C022,heed,-1.47334457742654,1.60258659857933
LV,pre,C022,hid,-1.5582649097305,1.66034749671118
LV,pre,C022,hoard,-0.175515953562455,-1.65940423201696
LV,pre,C022,hod,0.382351516993389,-1.30377710991781
LV,pre,C022,hood,-0.946618749125294,0.592913306358769
LV,pre,C022,hud,1.05635423169015,-0.368464207362137
LV,pre,C022,whod,-1.23785319693454,-0.056969631661162
LV,pre,C023,had,1.59124898936799,0.0637498376528924
LV,pre,C023,hard,0.675709386207386,-1.01056075340265
LV,pre,C023,head,-0.913544883116503,0.987426018809239
LV,pre,C023,heard,0.0360799620378349,-1.31164367819671
LV,pre,C023,heed,-1.19155779703816,1.34424171075754
LV,pre,C023,hid,-1.29826509532881,1.3428280033452
LV,pre,C023,hoard,-0.416534961663722,-1.43549278585763
LV,pre,C023,hod,0.619752196458687,-1.0192659700943
LV,pre,C023,hood,0.449322786953326,-0.774481102252337
LV,pre,C023,hud,0.717402565582839,-0.14043086553491
LV,pre,C023,whod,-1.42450155792779,-1.2557377447126
LV,pre,C024,had,1.29166055746667,0.210247411391525
LV,pre,C024,hard,0.850937286665877,-0.269967715146136
LV,pre,C024,head,0.000116953794302667,-0.860875103559548
LV,pre,C024,heard,-0.214297197745916,-1.15828735397016
LV,pre,C024,heed,-1.65223257569023,1.84600497363189
LV,pre,C024,hid,-1.83794217022331,1.9716483731051
LV,pre,C024,hoard,0.000116953794302667,-0.325163964481788
LV,pre,C024,hod,-0.219898839211032,-0.523261771534035
LV,pre,C024,hood,-0.147487700575774,-1.069602528629
LV,pre,C024,hud,1.31722353032516,0.272675797478265
LV,pre,C024,whod,-1.80182444383934,-1.01859574964103
LV,pre,C03,had,1.16668974537239,-0.275460526638097
LV,pre,C03,hard,0.695085551098651,-1.04320923258971
LV,pre,C03,head,-0.581608417875788,1.13120609813766
LV,pre,C03,heard,0.67798996580318,-0.0580376744415857
LV,pre,C03,heed,-1.47476503588948,1.86992209069433
LV,pre,C03,hid,-1.01264839172715,1.13958583363422
LV,pre,C03,hoard,-0.520877797848784,-1.44454499922571
LV,pre,C03,hod,-0.492864355177422,-0.983396198645467
LV,pre,C03,hood,-0.445317428714076,0.84557439957621
LV,pre,C03,hud,0.726194382986465,-0.194786115440434
LV,pre,C03,whod,-1.62497380985131,-1.13488687840255
LV,pre,C04,had,1.46735118591438,0.0184052679072071
LV,pre,C04,hard,0.741433510963464,-0.451794823210496
LV,pre,C04,head,0.626900305015797,1.54278127722748
LV,pre,C04,heard,-0.0519101640161694,-1.9625995005352
LV,pre,C04,heed,-1.25356039452455,0.860970199600941
LV,pre,C04,hid,-0.13590899629598,1.72376234161627
LV,pre,C04,hoard,-0.42760064365129,-0.775786840346735
LV,pre,C04,hod,0.168860185916372,-0.63807835459755
