group,test,vowel,speaker,f1,f2,vowel.class,mahalanobis.distance,correct
LV,pre,had,C010-LV,1.43619511331078,-0.111404950891262,had,57.993200495433,TRUE
LV,pre,had,C010-LV,1.43619511331078,-0.111404950891262,hard,6039.21423506468,FALSE
LV,pre,had,C010-LV,1.43619511331078,-0.111404950891262,head,2194.97943697297,FALSE
LV,pre,had,C010-LV,1.43619511331078,-0.111404950891262,heard,9215.92819686129,FALSE
LV,pre,had,C010-LV,1.43619511331078,-0.111404950891262,heed,3506.46119058202,FALSE
LV,pre,had,C010-LV,1.43619511331078,-0.111404950891262,hid,113767.644212194,FALSE
LV,pre,had,C010-LV,1.43619511331078,-0.111404950891262,hoard,5211.04660364785,FALSE
LV,pre,had,C010-LV,1.43619511331078,-0.111404950891262,hod,258203.204406435,FALSE
LV,pre,had,C010-LV,1.43619511331078,-0.111404950891262,hood,35568.8563783768,FALSE
LV,pre,had,C010-LV,1.43619511331078,-0.111404950891262,hud,14133.2698976039,FALSE
LV,pre,had,C010-LV,1.43619511331078,-0.111404950891262,whod,48134.1940678614,FALSE
LV,pre,had,C011-LV,1.45051838710366,0.121516624570091,had,181.291407703226,TRUE
LV,pre,had,C011-LV,1.45051838710366,0.121516624570091,hard,10849.1650079674,FALSE
LV,pre,had,C011-LV,1.45051838710366,0.121516624570091,head,1137.37429322874,FALSE
LV,pre,had,C011-LV,1.45051838710366,0.121516624570091,heard,6427.43469370414,FALSE
LV,pre,had,C011-LV,1.45051838710366,0.121516624570091,heed,4267.7456179123,FALSE
LV,pre,had,C011-LV,1.45051838710366,0.121516624570091,hid,132497.756283377,FALSE
LV,pre,had,C011-LV,1.45051838710366,0.121516624570091,hoard,5711.98881723195,FALSE
LV,pre,had,C011-LV,1.45051838710366,0.121516624570091,hod,355572.757666072,FALSE
LV,pre,had,C011-LV,1.45051838710366,0.121516624570091,hood,37924.4918004615,FALSE
LV,pre,had,C011-LV,1.45051838710366,0.121516624570091,hud,25565.3327568746,FALSE
LV,pre,had,C011-LV,1.45051838710366,0.121516624570091,whod,51813.3014936355,FALSE
LV,pre,had,C012-LV,0.818364078867155,0.54745298096678,had,1309.12254893289,FALSE
LV,pre,had,C012-LV,0.818364078867155,0.54745298096678,hard,22788.8111490402,FALSE
LV,pre,had,C012-LV,0.818364078867155,0.54745298096678,head,268.599759762005,TRUE
LV,pre,had,C012-LV,0.818364078867155,0.54745298096678,heard,427.069251615645,FALSE
LV,pre,had,C012-LV,0.818364078867155,0.54745298096678,heed,2669.5383455585,FALSE
LV,pre,had,C012-LV,0.818364078867155,0.54745298096678,hid,65279.7111773363,FALSE
LV,pre,had,C012-LV,0.818364078867155,0.54745298096678,hoard,4842.70868777972,FALSE
LV,pre,had,C012-LV,0.818364078867155,0.54745298096678,hod,495768.899597654,FALSE
LV,pre,had,C012-LV,0.818364078867155,0.54745298096678,hood,20385.2952148498,FALSE
LV,pre,had,C012-LV,0.818364078867155,0.54745298096678,hud,27704.9941472482,FALSE
LV,pre,had,C012-LV,0.818364078867155,0.54745298096678,whod,33576.2349319869,FALSE
LV,pre,had,C013-LV,1.63448883575843,0.520381783569434,had,578.205664041682,FALSE
LV,pre,had,C013-LV,1.63448883575843,0.520381783569434,hard,22527.3852017778,FALSE
LV,pre,had,C013-LV,1.63448883575843,0.520381783569434,head,145.64100831395,TRUE
LV,pre,had,C013-LV,1.63448883575843,0.520381783569434,heard,4303.63098441884,FALSE
LV,pre,had,C013-LV,1.63448883575843,0.520381783569434,heed,7698.98220605198,FALSE
LV,pre,had,C013-LV,1.63448883575843,0.520381783569434,hid,201068.435509121,FALSE
LV,pre,had,C013-LV,1.63448883575843,0.520381783569434,hoard,7417.30207112384,FALSE
LV,pre,had,C013-LV,1.63448883575843,0.520381783569434,hod,579399.635889154,FALSE
LV,pre,had,C013-LV,1.63448883575843,0.520381783569434,hood,48691.4115112385,FALSE
LV,pre,had,C013-LV,1.63448883575843,0.520381783569434,hud,60890.7132389551,FALSE
LV,pre,had,C013-LV,1.63448883575843,0.520381783569434,whod,65629.1037180426,FALSE
LV,pre,had,C014-LV,0.911722304091091,-0.712424400895232,had,234.121398260905,FALSE
LV,pre,had,C014-LV,0.911722304091091,-0.712424400895232,hard,68.849399214785,TRUE
LV,pre,had,C014-LV,0.911722304091091,-0.712424400895232,head,7506.33799496352,FALSE
LV,pre,had,C014-LV,0.911722304091091,-0.712424400895232,heard,11371.3530376977,FALSE
LV,pre,had,C014-LV,0.911722304091091,-0.712424400895232,heed,3415.6071712506,FALSE
LV,pre,had,C014-LV,0.911722304091091,-0.712424400895232,hid,24494.35217534,FALSE
LV,pre,had,C014-LV,0.911722304091091,-0.712424400895232,hoard,2599.6781315644,FALSE
LV,pre,had,C014-LV,0.911722304091091,-0.712424400895232,hod,57483.1858371845,FALSE
LV,pre,had,C014-LV,0.911722304091091,-0.712424400895232,hood,15872.4901005825,FALSE
LV,pre,had,C014-LV,0.911722304091091,-0.712424400895232,hud,1435.06223640371,FALSE
LV,pre,had,C014-LV,0.911722304091091,-0.712424400895232,whod,23809.680310157,FALSE
LV,pre,had,C015-LV,0.806585676986001,-0.460341827463506,had,137.121981563152,FALSE
LV,pre,had,C015-LV,0.806585676986001,-0.460341827463506,hard,1290.63201705983,FALSE
LV,pre,had,C015-LV,0.806585676986001,-0.460341827463506,head,5413.01841997192,FALSE
LV,pre,had,C015-LV,0.806585676986001,-0.460341827463506,heard,6451.2755220835,FALSE
LV,pre,had,C015-LV,0.806585676986001,-0.460341827463506,heed,2606.78098726397,FALSE
LV,pre,had,C015-LV,0.806585676986001,-0.460341827463506,hid,24066.9265378093,FALSE
LV,pre,had,C015-LV,0.806585676986001,-0.460341827463506,hoard,2582.88107257281,FALSE
LV,pre,had,C015-LV,0.806585676986001,-0.460341827463506,hod,105059.712427376,FALSE
LV,pre,had,C015-LV,0.806585676986001,-0.460341827463506,hood,14621.1821718733,FALSE
LV,pre,had,C015-LV,0.806585676986001,-0.460341827463506,hud,35.604165656379,TRUE
LV,pre,had,C015-LV,0.806585676986001,-0.460341827463506,whod,23167.1496657008,FALSE
LV,pre,had,C016-LV,0.933920109465433,0.612135650380853,had,1348.57368530818,FALSE
LV,pre,had,C016-LV,0.933920109465433,0.612135650380853,hard,25157.0359194114,FALSE
LV,pre,had,C016-LV,0.933920109465433,0.612135650380853,head,135.00782376463,TRUE
LV,pre,had,C016-LV,0.933920109465433,0.612135650380853,heard,552.775670195552,FALSE
LV,pre,had,C016-LV,0.933920109465433,0.612135650380853,heed,3469.81331227104,FALSE
LV,pre,had,C016-LV,0.933920109465433,0.612135650380853,hid,83927.6407001457,FALSE
