Group,Test,participant,Pair,nTrials,nCorrect,Accuracy
HV,pre,C01,bait-bet,6,6,1
HV,pre,C01,bait-bite,6,4,0.666666667
HV,pre,C01,bared-beard,6,4,0.666666667
HV,pre,C01,bared-bird,6,0,0
HV,pre,C01,bart-bert,6,6,1
HV,pre,C01,bart-bot,6,4,0.666666667
HV,pre,C01,bart-but,6,3,0.5
HV,pre,C01,bat-but,6,4,0.666666667
HV,pre,C01,beat-bit,6,6,1
HV,pre,C01,bet-bit,6,4,0.666666667
HV,pre,C01,bit-bite,6,6,1
HV,pre,C01,board-buoyed,6,5,0.833333333
HV,pre,C01,boat-bout,6,6,1
HV,pre,C01,bot-but,6,4,0.666666667
HV,pre,C01,poot-put,6,6,1
HV,pre,C010,bait-bet,6,4,0.666666667
HV,pre,C010,bait-bite,6,2,0.333333333
HV,pre,C010,bared-beard,6,2,0.333333333
HV,pre,C010,bared-bird,6,2,0.333333333
HV,pre,C010,bart-bert,6,3,0.5
HV,pre,C010,bart-bot,6,3,0.5
HV,pre,C010,bart-but,6,1,0.166666667
HV,pre,C010,bat-but,6,3,0.5
HV,pre,C010,beat-bit,6,5,0.833333333
HV,pre,C010,bet-bit,6,5,0.833333333
HV,pre,C010,bit-bite,6,3,0.5
HV,pre,C010,board-buoyed,6,1,0.166666667
HV,pre,C010,boat-bout,6,4,0.666666667
HV,pre,C010,bot-but,6,3,0.5
HV,pre,C010,poot-put,6,3,0.5
HV,pre,C011,bait-bet,6,6,1
HV,pre,C011,bait-bite,6,5,0.833333333
HV,pre,C011,bared-beard,6,3,0.5
HV,pre,C011,bared-bird,6,2,0.333333333
HV,pre,C011,bart-bert,6,3,0.5
HV,pre,C011,bart-bot,6,4,0.666666667
HV,pre,C011,bart-but,6,3,0.5
HV,pre,C011,bat-but,6,1,0.166666667
HV,pre,C011,beat-bit,6,3,0.5
HV,pre,C011,bet-bit,6,6,1
HV,pre,C011,bit-bite,6,6,1
HV,pre,C011,board-buoyed,6,6,1
HV,pre,C011,boat-bout,6,5,0.833333333
HV,pre,C011,bot-but,6,5,0.833333333
HV,pre,C011,poot-put,6,4,0.666666667
HV,pre,C012,bait-bet,6,6,1
HV,pre,C012,bait-bite,6,4,0.666666667
HV,pre,C012,bared-beard,6,5,0.833333333
HV,pre,C012,bared-bird,6,3,0.5
HV,pre,C012,bart-bert,6,3,0.5
HV,pre,C012,bart-bot,6,5,0.833333333
HV,pre,C012,bart-but,6,0,0
HV,pre,C012,bat-but,6,3,0.5
HV,pre,C012,beat-bit,6,5,0.833333333
HV,pre,C012,bet-bit,6,4,0.666666667
HV,pre,C012,bit-bite,6,5,0.833333333
HV,pre,C012,board-buoyed,6,5,0.833333333
HV,pre,C012,boat-bout,6,5,0.833333333
HV,pre,C012,bot-but,6,4,0.666666667
HV,pre,C012,poot-put,6,4,0.666666667
HV,pre,C013,bait-bet,6,5,0.833333333
HV,pre,C013,bait-bite,6,6,1
HV,pre,C013,bared-beard,6,4,0.666666667
HV,pre,C013,bared-bird,6,4,0.666666667
HV,pre,C013,bart-bert,6,5,0.833333333
HV,pre,C013,bart-bot,6,5,0.833333333
HV,pre,C013,bart-but,6,3,0.5
HV,pre,C013,bat-but,6,1,0.166666667
HV,pre,C013,beat-bit,6,6,1
HV,pre,C013,bet-bit,6,6,1
HV,pre,C013,bit-bite,6,6,1
HV,pre,C013,board-buoyed,6,4,0.666666667
HV,pre,C013,boat-bout,6,5,0.833333333
HV,pre,C013,bot-but,6,6,1
HV,pre,C013,poot-put,6,5,0.833333333
HV,pre,C014,bait-bet,6,5,0.833333333
HV,pre,C014,bait-bite,6,6,1
HV,pre,C014,bared-beard,6,4,0.666666667
HV,pre,C014,bared-bird,6,4,0.666666667
HV,pre,C014,bart-bert,6,5,0.833333333
HV,pre,C014,bart-bot,6,5,0.833333333
HV,pre,C014,bart-but,6,3,0.5
HV,pre,C014,bat-but,6,1,0.166666667
HV,pre,C014,beat-bit,6,6,1
HV,pre,C014,bet-bit,6,6,1
HV,pre,C014,bit-bite,6,6,1
HV,pre,C014,board-buoyed,6,4,0.666666667
HV,pre,C014,boat-bout,6,5,0.833333333
HV,pre,C014,bot-but,6,6,1
HV,pre,C014,poot-put,6,5,0.833333333
HV,pre,C015,bait-bet,6,4,0.666666667
HV,pre,C015,bait-bite,6,0,0
HV,pre,C015,bared-beard,6,3,0.5
HV,pre,C015,bared-bird,6,2,0.333333333
HV,pre,C015,bart-bert,6,3,0.5
HV,pre,C015,bart-bot,6,2,0.333333333
HV,pre,C015,bart-but,6,3,0.5
HV,pre,C015,bat-but,6,2,0.333333333
HV,pre,C015,beat-bit,6,2,0.333333333
HV,pre,C015,bet-bit,6,2,0.333333333
HV,pre,C015,bit-bite,6,2,0.333333333
HV,pre,C015,board-buoyed,6,1,0.166666667
HV,pre,C015,boat-bout,6,5,0.833333333
HV,pre,C015,bot-but,6,0,0
HV,pre,C015,poot-put,6,5,0.833333333
HV,pre,C017,bait-bet,6,2,0.333333333
HV,pre,C017,bait-bite,6,1,0.166666667
HV,pre,C017,bared-beard,6,2,0.333333333
HV,pre,C017,bared-bird,6,2,0.333333333
HV,pre,C017,bart-bert,6,4,0.666666667
HV,pre,C017,bart-bot,6,4,0.666666667
HV,pre,C017,bart-but,6,2,0.333333333
HV,pre,C017,bat-but,6,1,0.166666667
HV,pre,C017,beat-bit,6,2,0.333333333
HV,pre,C017,bet-bit,6,1,0.166666667
HV,pre,C017,bit-bite,6,2,0.333333333
HV,pre,C017,board-buoyed,6,4,0.666666667
HV,pre,C017,boat-bout,6,5,0.833333333
HV,pre,C017,bot-but,6,4,0.666666667
HV,pre,C017,poot-put,6,4,0.666666667
HV,pre,C018,bait-bet,6,6,1
HV,pre,C018,bait-bite,6,6,1
HV,pre,C018,bared-beard,6,4,0.666666667
HV,pre,C018,bared-bird,6,3,0.5
HV,pre,C018,bart-bert,6,5,0.833333333
