participant,group,stimuli,response,correct
C01-HV,HV,cup,cup,1
C01-HV,HV,hat,hat,1
C01-HV,HV,skirt,skate,0
C01-HV,HV,paws,pause,0
C01-HV,HV,toys,toys,1
C01-HV,HV,cot,cot,1
C01-HV,HV,shark,shark,1
C01-HV,HV,shirt,shirt,1
C01-HV,HV,cut,cut,1
C01-HV,HV,bees,bees,1
C01-HV,HV,gate,gate,1
C01-HV,HV,boys,boys,1
C01-HV,HV,coat,coat,1
C01-HV,HV,book,book,1
C01-HV,HV,cat,cat,1
C01-HV,HV,leg,leg,1
C01-HV,HV,piers,bay,0
C01-HV,HV,road,road,1
C01-HV,HV,bike,bike,1
C01-HV,HV,house,house,1
C01-HV,HV,ring,ring,1
C01-HV,HV,food,food,1
C01-HV,HV,tears,tears,1
C01-HV,HV,ten,ten,1
C01-HV,HV,clock,clock,1
C01-HV,HV,mouse,mouse,1
C01-HV,HV,foot,foot,1
C01-HV,HV,ball,ball,1
C01-HV,HV,pears,piers,0
C01-HV,HV,kite,kite,1
C01-HV,HV,teeth,teeth,1
C01-HV,HV,park,park,1
C01-HV,HV,lid,lid,1
C01-HV,HV,bears,bears,1
C01-HV,HV,suit,suit,1
C01-HV,HV,cake,cake,1
C02-HV,HV,bees,bees,1
C02-HV,HV,piers,0,0
C02-HV,HV,teeth,teeth,1
C02-HV,HV,cake,cake,1
C02-HV,HV,mouse,mouse,1
C02-HV,HV,skirt,skirt,1
C02-HV,HV,shirt,shirt,1
C02-HV,HV,park,park,1
C02-HV,HV,house,house,1
C02-HV,HV,shark,shark,1
C02-HV,HV,suit,0,0
C02-HV,HV,bike ,bike ,1
C02-HV,HV,cat,cat,1
C02-HV,HV,ball,ball,1
C02-HV,HV,tears,tears,1
C02-HV,HV,food,food,1
C02-HV,HV,cot,0,0
C02-HV,HV,boys,boys,1
C02-HV,HV,kite,kite,1
C02-HV,HV,ring,ring,1
C02-HV,HV,road,road,1
C02-HV,HV,lid,0,0
C02-HV,HV,book,book,1
C02-HV,HV,gate,gate,1
C02-HV,HV,ten,ten,1
C02-HV,HV,pears,pears,1
C02-HV,HV,cup,cup,1
C02-HV,HV,clock,clock,1
C02-HV,HV,foot,foot,1
C02-HV,HV,bears,bears,1
C02-HV,HV,toys,toys,1
C02-HV,HV,hat,hat,1
C02-HV,HV,paws,0,0
C02-HV,HV,leg,leg,1
C02-HV,HV,cut,cut,1
C02-HV,HV,coat,coat,1
C03-HV,HV,teeth,teeth,1
C03-HV,HV,coat,coat,1
C03-HV,HV,cat,cat,1
C03-HV,HV,lid,lid,1
C03-HV,HV,cut,0,0
C03-HV,HV,bike,0,0
C03-HV,HV,road,road,1
C03-HV,HV,cake,cake,1
C03-HV,HV,bears,bears,1
C03-HV,HV,hat,hat,1
C03-HV,HV,bees,0,0
C03-HV,HV,shark,shark,1
C03-HV,HV,mouse,mouse,1
C03-HV,HV,tears,tears,1
C03-HV,HV,skirt,0,0
C03-HV,HV,book,0,0
C03-HV,HV,gate,gate,1
C03-HV,HV,kite,0,0
C03-HV,HV,house,0,0
C03-HV,HV,boys,boys,1
C03-HV,HV,park,park,1
C03-HV,HV,piers,0,0
C03-HV,HV,pears,0,0
C03-HV,HV,cup,cup,1
C03-HV,HV,cot,0,0
C03-HV,HV,foot,foot,1
C03-HV,HV,clock,clock,1
C03-HV,HV,ball,ball,1
C03-HV,HV,suit,0,0
C03-HV,HV,paws,0,0
C03-HV,HV,toys,toys,1
C03-HV,HV,shirt,shirt,1
C03-HV,HV,leg,leg,1
C03-HV,HV,ten,ten,1
C03-HV,HV,food,food,1
C03-HV,HV,ring,ring,1
C04-HV,HV,shark,shark,1
C04-HV,HV,road,road,1
C04-HV,HV,book,book,1
C04-HV,HV,pears,0,0
C04-HV,HV,coat,0,0
C04-HV,HV,gate,0,0
C04-HV,HV,cot,0,0
C04-HV,HV,hat,hat,1
C04-HV,HV,food,food,1
C04-HV,HV,park,park,1
C04-HV,HV,bees,bees,1
C04-HV,HV,ten,ten,1
C04-HV,HV,kite,0,0
C04-HV,HV,leg,0,0
C04-HV,HV,cat,cat,1
C04-HV,HV,toys,toys,1
C04-HV,HV,ring,ring,1
C04-HV,HV,lid,0,0
C04-HV,HV,foot,foot,1
C04-HV,HV,tears,0,0
C04-HV,HV,cup,cup,1
C04-HV,HV,paws,0,0
C04-HV,HV,teeth,0,0
C04-HV,HV,mouse,mouse,1
C04-HV,HV,piers,0,0
C04-HV,HV,cake,cake,1
C04-HV,HV,shirt,shirt,1
C04-HV,HV,ball,ball,1
C04-HV,HV,bears,0,0
C04-HV,HV,bike,0,0
C04-HV,HV,clock,clock,1
C04-HV,HV,suit,0,0
C04-HV,HV,boys,boys,1
C04-HV,HV,cut,0,0
C04-HV,HV,house,0,0
C04-HV,HV,skirt,0,0
C05-HV,HV,leg,leg,1
C05-HV,HV,gate,0,0
C05-HV,HV,mouse,0,0
C05-HV,HV,suit,0,0
C05-HV,HV,ring,0,0
C05-HV,HV,foot,foot,1
C05-HV,HV,shark,,0
C05-HV,HV,skirt,skirt,1
C05-HV,HV,cup,cup,1
C05-HV,HV,cut,cut,1
C05-HV,HV,clock,clock,1
C05-HV,HV,bears,bears,1
C05-HV,HV,paws,0,0
C05-HV,HV,tears,tears,1
C05-HV,HV,ball,0,0
C05-HV,HV,cake,cake,1
C05-HV,HV,hat,hat,1
C05-HV,HV,piers,0,0
C05-HV,HV,ten,ten,1
C05-HV,HV,cot,cot,1
C05-HV,HV,bike,bike,1
C05-HV,HV,kite,kite,1
C05-HV,HV,pears,pears,1
C05-HV,HV,food,food,1
C05-HV,HV,bees,bees,1
C05-HV,HV,road,0,0
C05-HV,HV,coat,0,0
C05-HV,HV,house,house,1
C05-HV,HV,park,park,1
C05-HV,HV,toys,toys,1
C05-HV,HV,cat,cat,1
C05-HV,HV,lid,0,0
C05-HV,HV,shirt,0,0
C05-HV,HV,teeth,0,0
C05-HV,HV,boys,,0
C05-HV,HV,book,,0
C06-HV,HV,teeth,teeth,1
C06-HV,HV,toys,toys,1
C06-HV,HV,foot,foot,1
C06-HV,HV,book,book,1
C06-HV,HV,cup,cup,1
C06-HV,HV,ball,ball,1
C06-HV,HV,bees,bees,1
C06-HV,HV,shark,shark,1
C06-HV,HV,tears,0,0
C06-HV,HV,paws,0,0
C06-HV,HV,mouse,mouse,1
C06-HV,HV,shirt,0,0
C06-HV,HV,cat,cat,1
C06-HV,HV,lid,lid,1
C06-HV,HV,bike,bike,1
C06-HV,HV,bears,bees,0
C06-HV,HV,cut,cut,1
C06-HV,HV,ring,ring,1
C06-HV,HV,pears,0,0
C06-HV,HV,road,0,0
C06-HV,HV,ten,ten,1
C06-HV,HV,cake,cake,1
C06-HV,HV,hat,hat,1
C06-HV,HV,food,food,1
C06-HV,HV,gate,gate,1
C06-HV,HV,leg,leg,1
C06-HV,HV,boys,boys,1
C06-HV,HV,skirt,0,0
C06-HV,HV,kite,0,0
C06-HV,HV,piers,0,0
C06-HV,HV,park,park,1
C06-HV,HV,clock,clock,1
C06-HV,HV,house,house,1
C06-HV,HV,coat,0,0
C06-HV,HV,suit,0,0
C06-HV,HV,cot,0,0
C07-HV,HV,ten,ten,1
C07-HV,HV,paws,0,0
C07-HV,HV,gate,gate,1
C07-HV,HV,leg,leg,1
C07-HV,HV,ball,ball,1
C07-HV,HV,kite,kite,1
C07-HV,HV,boys,boys,1
C07-HV,HV,foot,foot,1
C07-HV,HV,cat,cat,1
C07-HV,HV,pears,0,0
C07-HV,HV,piers,0,0
C07-HV,HV,bears,0,0
C07-HV,HV,skirt,0,0
C07-HV,HV,suit,0,0
C07-HV,HV,coat,shirt,0
C07-HV,HV,house,house,1
C07-HV,HV,teeth,teeth,1
C07-HV,HV,park,park,1
C07-HV,HV,clock,clock,1
C07-HV,HV,book,book,1
C07-HV,HV,hat,hat,1
C07-HV,HV,lid,lid,1
C07-HV,HV,road,road,1
C07-HV,HV,shirt,0,0
C07-HV,HV,cup,cup,1
C07-HV,HV,shark,shark,1
C07-HV,HV,bike,0,0
C07-HV,HV,ring,ring,1
C07-HV,HV,bees,bees,1
C07-HV,HV,mouse,mouse,1
C07-HV,HV,cot,cot,1
C07-HV,HV,cake,cake,1
C07-HV,HV,tears,0,0
C07-HV,HV,toys,toys,1
C07-HV,HV,cut,cut,1
C07-HV,HV,food,food,1
C08-HV,HV,ball,0,0
C08-HV,HV,park,0,0
C08-HV,HV,clock,0,0
C08-HV,HV,pears,0,0
C08-HV,HV,cut,0,0
C08-HV,HV,skirt,0,0
C08-HV,HV,ten,ten,1
C08-HV,HV,shark,0,0
C08-HV,HV,cup,tea,0
C08-HV,HV,mouse,mouse,1
C08-HV,HV,cot,0,0
C08-HV,HV,bears,0,0
C08-HV,HV,ring,0,0
C08-HV,HV,book,book,1
C08-HV,HV,lid,0,0
C08-HV,HV,bees,0,0
C08-HV,HV,house,0,0
C08-HV,HV,kite,0,0
C08-HV,HV,boys,boys,1
C08-HV,HV,cat,cat,1
C08-HV,HV,foot,0,0
C08-HV,HV,leg,0,0
C08-HV,HV,paws,0,0
C08-HV,HV,food,0,0
C08-HV,HV,shirt,0,0
