participant,vowel,group,test,duration,f1,f2
C010,had,HV,post,186,1066,1794
C010,haired,HV,post,289,972,2227
C010,hard,HV,post,282,972,1440
C010,hayed,HV,post,336,590,917
C010,head,HV,post,138,759,1333
C010,hear,HV,post,219,735,2273
C010,heard,HV,post,286,680,755
C010,heed,HV,post,273,511,3116
C010,hid,HV,post,123,806,1921
C010,hide,HV,post,314,881,1080
C010,hoard,HV,post,269,789,1227
C010,hod,HV,post,105,856,1440
C010,hoed,HV,post,347,514,2280
C010,hood,HV,post,92,556,1625
C010,howd,HV,post,308,572,1340
C010,hoyd,HV,post,372,729,1926
C010,hud,HV,post,103,1015,1383
C010,whod,HV,post,172,511,1746
C011,hoyd,HV,post,264,861,1113
C011,had,HV,post,160,1065,1068
C011,haired,HV,post,228,916,1122
C011,hard,HV,post,234,1048,1553
C011,hayed,HV,post,239,599,2808
C011,head,HV,post,91,792,2650
C011,hear,HV,post,239,446,3178
C011,heard,HV,post,216,859,1264
C011,heed,HV,post,209,414,2336
C011,hid,HV,post,87,736,2709
C011,hide,HV,post,222,930,1742
C011,hoard,HV,post,264,654,1348
C011,hod,HV,post,59,536,1350
C011,hoed,HV,post,286,739,2150
C011,hood,HV,post,80,745,1630
C011,howd,HV,post,296,994,1380
C011,hud,HV,post,126,986,1344
C011,whod,HV,post,211,406,1181
C012,had,HV,post,180,1132,1995
C012,haired,HV,post,247,961,2548
C012,hard,HV,post,276,1130,1631
C012,hayed,HV,post,275,569,2833
C012,head,HV,post,146,853,2523
C012,hear,HV,post,244,850,2223
C012,heard,HV,post,226,845,1658
C012,heed,HV,post,208,535,3005
C012,hid,HV,post,114,581,2989
C012,hide,HV,post,303,948,1896
C012,hoard,HV,post,247,579,1174
C012,hod,HV,post,124,754,1524
C012,hoed,HV,post,279,576,2685
C012,hood,HV,post,165,786,1848
C012,howd,HV,post,249,1167,1768
C012,hoyd,HV,post,301,732,1999
C012,hud,HV,post,125,1049,1736
C012,whod,HV,post,222,534,1802
C013,had,HV,post,221,1235,1448
C013,haired,HV,post,286,1014,1422
C013,hard,HV,post,262,1007,1640
C013,hayed,HV,post,294,702,1345
C013,head,HV,post,123,880,1063
C013,hear,HV,post,335,651,2138
C013,heard,HV,post,261,706,1468
C013,heed,HV,post,280,474,3127
C013,hid,HV,post,90,707,1794
C013,hide,HV,post,337,1042,1570
C013,hoard,HV,post,251,924,1318
C013,hod,HV,post,114,686,925
C013,hoed,HV,post,257,680,1959
C013,hood,HV,post,87,680,2076
C013,howd,HV,post,245,991,1765
C013,hoyd,HV,post,254,913,1459
C013,hud,HV,post,120,1010,1699
C013,whod,HV,post,282,544,1447
C014,had,HV,post,333,1583,1942
C014,haired,HV,post,338,462,1104
C014,hard,HV,post,129,1051,1365
C014,hayed,HV,post,262,525,3280
C014,hear,HV,post,335,720,1875
C014,heard,HV,post,301,822,1234
C014,heed,HV,post,365,358,1680
C014,hid,HV,post,176,606,2803
C014,hide,HV,post,395,477,1323
C014,hoard,HV,post,310,805,1366
C014,hod,HV,post,285,586,1006
C014,hoed,HV,post,269,577,837
C014,hood,HV,post,107,484,619
C014,howd,HV,post,344,452,1410
C014,hoyd,HV,post,358,561,1545
C014,hud,HV,post,143,822,1172
C014,whod,HV,post,233,614,1074
C014,head,HV,post,198,1151,2478
C015,had,HV,post,190,937,1317
C015,haired,HV,post,380,975,1056
C015,hard,HV,post,284,1014,1396
C015,hayed,HV,post,303,716,2680
C015,head,HV,post,115,924,1263
C015,hear,HV,post,307,560,1693
