participant,vowel,group,test,duration,f1,f2
C010,had,LV,post,232,917,1692
C010,haired,LV,post,402,607,2435
C010,hard,LV,post,370,941,1543
C010,hayed,LV,post,344,458,2841
C010,head,LV,post,187,682,2419
C010,hear,LV,post,476,659,2233
C010,heard,LV,post,245,710,971
C010,heed,LV,post,281,451,2623
C010,hid,LV,post,121,489,1598
C010,hide,LV,post,318,850,1632
C010,hoard,LV,post,314,639,1164
C010,hod,LV,post,148,671,1277
C010,hoed,LV,post,332,489,1681
C010,hood,LV,post,173,547,1865
C010,howd,LV,post,403,871,1516
C010,hoyd,LV,post,291,600,1508
C010,hud,LV,post,143,723,2060
C010,whod,LV,post,403,473,2161
C011,had,LV,post,236,911,1706
C011,haired,LV,post,313,852,1957
C011,hard,LV,post,320,926,1439
C011,hayed,LV,post,347,420,1073
C011,head,LV,post,198,558,2219
C011,hear,LV,post,401,395,2370
C011,heard,LV,post,426,560,1686
C011,heed,LV,post,307,426,3090
C011,hid,LV,post,149,381,2945
C011,hide,LV,post,319,870,1507
C011,hoard,LV,post,306,474,998
C011,hod,LV,post,240,857,1513
C011,hoed,LV,post,424,527,2030
C011,hood,LV,post,174,397,2284
C011,howd,LV,post,453,1149,1913
C011,hoyd,LV,post,309,524,1502
C011,hud,LV,post,284,597,1667
C011,whod,LV,post,366,440,2070
C014,had,LV,post,198,959,1123
C014,haired,LV,post,280,905,2331
C014,hard,LV,post,283,843,1433
C014,hayed,LV,post,240,514,3202
C014,head,LV,post,169,746,2091
C014,hear,LV,post,311,624,3100
C014,heard,LV,post,266,674,887
C014,heed,LV,post,201,498,3191
C014,hid,LV,post,86,518,1309
C014,hide,LV,post,275,954,1415
C014,hoard,LV,post,262,912,1183
C014,hod,LV,post,172,875,1520
C014,hoed,LV,post,271,634,1791
C014,hood,LV,post,98,740,1749
C014,howd,LV,post,265,1133,1601
C014,hoyd,LV,post,246,765,1607
C014,hud,LV,post,169,982,1384
C014,whod,LV,post,230,646,1888
C015,had,LV,post,200,1173,1764
C015,haired,LV,post,278,1094,2242
C015,hard,LV,post,329,835,1342
C015,hayed,LV,post,304,594,2900
C015,head,LV,post,172,840,2153
C015,hear,LV,post,325,586,2879
C015,heard,LV,post,179,935,2190
C015,heed,LV,post,283,411,3202
C015,hid,LV,post,120,435,2986
C015,hide,LV,post,318,926,1781
C015,hoard,LV,post,192,528,950
C015,hod,LV,post,200,790,1326
C015,hoed,LV,post,304,563,2062
C015,hood,LV,post,144,589,1456
C015,howd,LV,post,322,1062,1805
C015,hoyd,LV,post,238,608,1358
C015,hud,LV,post,172,1053,1762
C015,whod,LV,post,356,535,1838
C016,had,LV,post,165,920,1760
C016,haired,LV,post,312,767,2095
C016,hard,LV,post,333,878,1396
C016,hayed,LV,post,348,617,2590
C016,head,LV,post,210,696,1769
C016,hear,LV,post,296,657,2510
C016,heard,LV,post,324,729,1818
C016,heed,LV,post,220,451,2937
C016,hid,LV,post,136,488,2369
C016,hide,LV,post,365,805,1954
C016,hoard,LV,post,287,521,1077
C016,hod,LV,post,135,769,1601
C016,hoed,LV,post,349,664,1899
C016,hood,LV,post,193,562,1955
C016,howd,LV,post,284,998,1797
C016,hoyd,LV,post,311,630,1872
C016,hud,LV,post,80,609,2040
C016,whod,LV,post,316,394,2024
C018,had,LV,post,129,1081,1802
C018,haired,LV,post,308,974,1709
C018,hard,LV,post,230,1049,1734
C018,hayed,LV,post,233,811,2399
C018,head,LV,post,179,703,877
C018,hear,LV,post,377,598,2549
C018,heard,LV,post,121,866,1653
C018,heed,LV,post,400,635,2706
C018,hid,LV,post,103,602,2218
C018,hide,LV,post,277,1058,1685
C018,hoard,LV,post,292,772,1176
C018,hod,LV,post,122,777,1266
C018,hoed,LV,post,356,798,2406
C018,hood,LV,post,201,733,2362
C018,howd,LV,post,285,756,975
C018,hoyd,LV,post,270,872,1336
C018,hud,LV,post,146,1071,1693
C018,whod,LV,post,328,496,2931
C019,had,LV,post,140,1303,1952
C019,haired,LV,post,389,1124,1981
C019,hard,LV,post,284,1020,1634
C019,hayed,LV,post,280,512,2661
C019,head,LV,post,130,841,2163
C019,hear,LV,post,306,828,1986
C019,heard,LV,post,327,583,1947
C019,heed,LV,post,304,512,2901
C019,hid,LV,post,97,667,2317
C019,hide,LV,post,414,841,1969
C019,hoard,LV,post,339,503,999
C019,hod,LV,post,152,816,1116
C019,hoed,LV,post,332,540,2100
C019,hood,LV,post,105,617,1918
C019,howd,LV,post,375,1220,1762
C019,hoyd,LV,post,314,757,1939
C019,hud,LV,post,126,889,1880
C019,whod,LV,post,358,516,1850
C01,hide,LV,post,324,991,1682
C01,had,LV,post,195,1024,1981
C01,haired,LV,post,173,586,2423
C01,hard,LV,post,212,918,1471
C01,hayed,LV,post,267,485,3054
C01,head,LV,post,138,569,2478
C01,hear,LV,post,371,841,2247
C01,heard,LV,post,196,623,2068
C01,heed,LV,post,211,480,3079
C01,hid,LV,post,121,475,2560
C01,hoard,LV,post,247,528,1202
C01,hod,LV,post,150,618,1493
C01,hoed,LV,post,254,463,1456
C01,hood,LV,post,109,630,1741
C01,howd,LV,post,279,819,1401
C01,hoyd,LV,post,318,787,1704
C01,hud,LV,post,78,793,2164
C01,whod,LV,post,221,445,1637
C021,had,LV,post,203,766,1262
C021,haired,LV,post,277,1066,1945
C021,hard,LV,post,369,908,1295
C021,hayed,LV,post,284,592,2536
C021,head,LV,post,112,708,2403
C021,hear,LV,post,360,753,2388
C021,heard,LV,post,268,897,1837
C021,heed,LV,post,294,514,2934
C021,hid,LV,post,131,546,2488
C021,hide,LV,post,329,1003,1542
C021,hoard,LV,post,366,564,1124
C021,hod,LV,post,119,875,1376
C021,hoed,LV,post,227,751,1379
C021,hood,LV,post,81,630,1469
C021,howd,LV,post,329,693,1267
C021,hoyd,LV,post,400,795,1518
C021,hud,LV,post,144,938,1460
C021,whod,LV,post,314,606,2923
C022,had,LV,post,153,890,1920
C022,haired,LV,post,398,696,2229
C022,hard,LV,post,446,897,1305
C022,hayed,LV,post,434,587,3231
C022,head,LV,post,163,625,2577
C022,hear,LV,post,426,629,2312
C022,heard,LV,post,417,516,1928
C022,heed,LV,post,324,420,1976
C022,hid,LV,post,190,511,2745
C022,hide,LV,post,504,1083,1869
C022,hoard,LV,post,406,615,1171
C022,hod,LV,post,186,630,1245
C022,hoed,LV,post,365,459,1568
C022,hood,LV,post,232,602,2073
C022,howd,LV,post,402,1133,1958
C022,hoyd,LV,post,446,676,1359
C022,hud,LV,post,165,886,1600
C022,whod,LV,post,347,425,1097
C023,had,LV,post,184,930,1475
C023,haired,LV,post,291,901,1888
C023,hard,LV,post,236,873,1409
C023,hayed,LV,post,314,601,2485
C023,head,LV,post,148,704,2131
C023,hear,LV,post,349,821,1910
C023,heard,LV,post,237,837,1896
C023,heed,LV,post,248,413,2923
C023,hid,LV,post,134,472,2467
C023,hide,LV,post,292,699,1350
C023,hoard,LV,post,201,681,1113
C023,hod,LV,post,165,700,1334
C023,hoed,LV,post,319,649,1772
C023,hood,LV,post,136,497,1133
C023,howd,LV,post,325,882,1362
C023,hoyd,LV,post,332,813,1366
C023,hud,LV,post,130,912,1676
C023,whod,LV,post,242,487,1193
C024,had,LV,post,155,995,1543
C024,haired,LV,post,245,476,990
C024,hard,LV,post,256,940,1421
C024,hayed,LV,post,176,534,2529
C024,head,LV,post,141,804,2205
C024,hear,LV,post,305,682,2371
C024,heard,LV,post,238,848,1389
C024,heed,LV,post,175,547,2826
C024,hid,LV,post,102,586,2761
C024,hide,LV,post,151,1054,1437
C024,hoard,LV,post,225,739,1230
C024,hod,LV,post,114,622,1134
C024,hoed,LV,post,233,795,1540
C024,hood,LV,post,134,789,1651
C024,howd,LV,post,292,1048,1709
C024,hoyd,LV,post,194,765,1616
C024,hud,LV,post,133,875,1364
C024,whod,LV,post,237,509,2051
C02,had,LV,post,131,961,1663
C02,haired,LV,post,239,1026,1512
C02,hard,LV,post,194,1012,1231
C02,hayed,LV,post,274,714,2478
C02,head,LV,post,128,952,1833
C02,hear,LV,post,334,1099,1984
C02,heard,LV,post,259,697,1470
C02,heed,LV,post,240,488,3166
C02,hid,LV,post,137,604,2389
C02,hide,LV,post,257,867,1963
C02,hoard,LV,post,243,760,1231
C02,hod,LV,post,123,771,1496
C02,hoed,LV,post,273,565,2407
C02,hood,LV,post,74,533,1835
