participant,vowel,group,test,duration,f1,f2
C010,had,LV,pre,180,934,1793
C010,haired,LV,pre,329,729,2252
C010,hard,LV,pre,243,935,1260
C010,hayed,LV,pre,250,568,2642
C010,head,LV,pre,134,618,974
C010,hear,LV,pre,321,563,2433
C010,heard,LV,pre,247,827,1784
C010,heed,LV,pre,324,471,3077
C010,hid,LV,pre,139,526,2605
C010,hide,LV,pre,275,878,1624
C010,hoard,LV,pre,268,668,1293
C010,hod,LV,pre,254,668,1621
C010,hoed,LV,pre,335,724,2314
C010,hood,LV,pre,146,585,1696
C010,howd,LV,pre,428,879,1561
C010,hoyd,LV,pre,303,504,1373
C010,hud,LV,pre,141,911,1627
C010,whod,LV,pre,160,414,1483
C011,had,LV,pre,237,985,2090
C011,haired,LV,pre,355,806,2590
C011,hard,LV,pre,274,983,1648
C011,hayed,LV,pre,297,601,2822
C011,head,LV,pre,226,492,1499
C011,hear,LV,pre,343,584,3003
C011,heard,LV,pre,287,698,1597
C011,heed,LV,pre,308,427,3129
C011,hid,LV,pre,147,433,2554
C011,hide,LV,pre,400,958,1807
C011,hoard,LV,pre,370,662,1107
C011,hod,LV,pre,219,717,1426
C011,hoed,LV,pre,434,603,2251
C011,hood,LV,pre,248,396,2148
C011,howd,LV,pre,553,859,1534
C011,hoyd,LV,pre,513,308,1002
C011,hud,LV,pre,349,912,1698
C011,whod,LV,pre,333,292,2330
C012,had,LV,pre,200,717,2079
C012,haired,LV,pre,255,649,2111
C012,hard,LV,pre,144,765,1424
C012,hayed,LV,pre,285,446,604
C012,head,LV,pre,174,559,2705
C012,hear,LV,pre,345,450,2620
C012,heard,LV,pre,225,708,2011
C012,heed,LV,pre,422,450,1632
C012,hid,LV,pre,114,576,2618
C012,hide,LV,pre,275,854,1764
C012,hoard,LV,pre,153,718,957
C012,hod,LV,pre,125,559,893
C012,hoed,LV,pre,230,565,2222
C012,hood,LV,pre,127,609,1455
C012,howd,LV,pre,291,338,1350
C012,hoyd,LV,pre,307,530,1914
C012,hud,LV,pre,108,826,1871
C012,whod,LV,pre,244,362,1144
C013,had,LV,pre,190,1098,2162
C013,haired,LV,pre,177,680,2344
C013,hard,LV,pre,198,1095,1834
C013,hayed,LV,pre,234,468,2506
C013,head,LV,pre,175,668,2271
C013,hear,LV,pre,244,977,2041
C013,heard,LV,pre,201,1121,2052
C013,heed,LV,pre,201,447,2676
C013,hid,LV,pre,211,629,2351
C013,hide,LV,pre,231,918,1948
